time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
768345257,0,1,2031,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768355270,0,1,2029,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768365237,0,1,2028,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768375252,0,1,2028,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768385267,0,1,2028,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768395272,0,1,2028,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,25,5,21,-16,0,-16,0,72,92
768405245,0,1,2027,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768415248,0,1,2027,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768425253,0,1,2029,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768435268,0,1,2029,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768445239,0,1,2030,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,22,5,21,-16,0,-16,0,72,92
768455240,0,1,2030,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,5,21,-16,0,-16,0,73,92
768465244,0,1,2033,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768475248,0,1,2036,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768485254,0,1,2035,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,5,21,-16,0,-16,0,72,92
768495259,0,1,2036,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768505236,0,1,2038,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768515253,0,1,2040,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,5,21,-16,0,-16,0,72,92
768525257,0,1,2041,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768535261,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768545316,0,1,2044,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768555248,0,1,2047,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768565259,0,1,2050,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768575262,0,1,2050,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768585267,0,1,2050,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
768595269,0,1,2052,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,22,4,21,-17,0,-16,0,72,92
768605248,0,1,2052,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768615258,0,1,2053,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,25,4,21,-17,0,-16,0,72,92
768625273,0,1,2052,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768635243,0,1,2052,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
768645243,0,1,2052,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768655250,0,1,2054,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,73,92
768665268,0,1,2055,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768675240,0,1,2056,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768685252,0,1,2056,1000,179,999,0,4,1119,4,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768695256,0,1,2058,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768705269,0,1,2061,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768715274,0,1,2061,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,22,4,21,-17,0,-16,0,72,92
768725237,0,1,2059,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768735247,0,1,2061,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768745258,0,1,2059,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768755265,0,1,2058,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,73,92
768765270,0,1,2059,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768775271,0,1,2060,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,92
768785235,0,1,2057,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768795249,0,1,2057,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
768805261,0,1,2057,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768815239,0,1,2057,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768825241,0,1,2057,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768835248,0,1,2052,1000,179,999,0,4,1119,4,15,-3,4,16925,-28,29,4,21,-17,0,-16,0,73,92
768845263,0,1,2045,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768855273,0,1,2039,1000,179,999,0,4,1119,3,13,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768865242,0,1,2032,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768875251,0,1,2027,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,22,4,21,-17,0,-16,0,72,92
768885265,0,1,2021,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768895272,0,1,2021,1000,179,999,0,4,1119,4,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768905290,0,1,2023,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,21,4,21,-17,0,-16,0,72,92
768915265,0,1,2025,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768925271,0,1,2027,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768935237,0,1,2027,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768945241,0,1,2029,1000,179,999,0,4,1119,3,13,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768955244,0,1,2030,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768965244,0,1,2030,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768975242,0,1,2030,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
768985249,0,1,2031,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
768995258,0,1,2032,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769005241,0,1,2032,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769015244,0,1,2034,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,92
769025246,0,1,2035,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769035249,0,1,2036,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769045256,0,1,2038,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769055263,0,1,2038,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,71,92
769065263,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769075263,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769085239,0,1,2045,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769095249,0,1,2048,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,25,4,21,-17,0,-16,0,72,92
769105269,0,1,2051,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769115271,0,1,2053,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769125250,0,1,2054,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
769135255,0,1,2055,1000,179,999,0,4,1119,3,16,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769145256,0,1,2059,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769155259,0,1,2056,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769165273,0,1,2057,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,92
769175243,0,1,2060,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769185247,0,1,2059,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,22,4,21,-17,0,-16,0,73,92
769195254,0,1,2054,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,24,4,21,-17,0,-16,0,72,92
769205267,0,1,2052,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769215236,0,1,2049,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,93
769225243,0,1,2048,1000,179,999,0,4,1119,3,17,-3,4,16925,-28,21,4,21,-17,0,-16,0,72,93
769235244,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769245254,0,1,2042,1000,179,999,0,4,1119,4,15,-3,4,16925,-28,22,4,21,-17,0,-16,0,72,92
769255263,0,1,2041,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,92
769265265,0,1,2041,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769275235,0,1,2039,1000,179,999,0,4,1119,3,13,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,93
769285247,0,1,2038,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769295251,0,1,2037,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769305269,0,1,2038,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,24,4,21,-17,0,-16,0,73,92
769315242,0,1,2039,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,73,92
769325256,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769335273,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,93
769345249,0,1,2043,1000,179,999,0,4,1119,3,14,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769355254,0,1,2044,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,93
769365260,0,1,2045,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,23,4,21,-17,0,-16,0,72,92
769375238,0,1,2045,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,21,4,21,-17,0,-16,0,72,92
769385239,0,1,2043,1000,179,999,0,4,1119,3,15,-3,4,16925,-28,29,4,21,-17,0,-16,0,72,92
