time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
357271210,54,0,6913,-6136,11523,-6400,3,0,284164,512,3328,-768,-1,4084484,-6912,5631,1280,12800,-11520,255,-11520,255,20736,27648
907375271,0,1,2076,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,22,5,50,-45,0,-45,0,81,108
907385248,0,1,2075,1000,45,999,0,4,1110,2,12,-3,4,15955,-27,22,5,50,-45,0,-45,0,81,108
907395235,0,1,2075,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,82,109
907405266,0,1,2074,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907415236,0,1,2071,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,82,108
907425254,0,1,2070,1000,45,999,0,4,1110,2,12,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907435236,0,1,2070,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907445261,0,1,2071,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,20,5,50,-45,0,-45,0,81,108
907455237,0,1,2073,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907465255,0,1,2075,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,22,5,50,-45,0,-45,0,81,108
907475239,0,1,2076,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907485258,0,1,2078,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,22,5,50,-45,0,-45,0,81,108
907495244,0,1,2078,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,109
907505235,0,1,2077,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907515259,0,1,2077,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,24,5,50,-45,0,-45,0,81,108
907525273,0,1,2077,1000,45,999,0,4,1110,2,12,-3,4,15955,-27,22,5,50,-45,0,-45,0,81,108
907535252,0,1,2077,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,23,5,50,-45,0,-45,0,81,108
907545271,0,1,2078,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
907555247,0,1,2077,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,109
907565254,0,1,2079,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,23,5,50,-45,0,-45,0,81,108
907575238,0,1,2077,1000,45,999,0,4,1110,2,13,-3,4,15955,-27,21,5,50,-45,0,-45,0,81,108
