time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
279242922,2,0,1,0,0,0,0,0,-777213,-11777,3839,0,0,-303357,11263,4864,0,0,0,0,0,0,11264,11008
34655248,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34665234,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34675253,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34685239,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34695258,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,20,0,0,0,0,0,0,44,43
34705245,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34715227,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34725245,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34735229,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34745251,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34755236,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,42
34765258,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34775243,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34785224,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34795242,0,1,0,0,0,0,0,3,-3036,-47,13,0,3,-1185,43,19,0,0,0,0,0,0,44,43
34805236,0,1,0,0,0,0,0,3,-3036,-47,14,0,3,-1185,43,19,0,0,0,0,0,0,44,43
