time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
3837036458,22071,0,-23295,-6133,-14333,-6400,3,0,364292,-1024,4863,-3072,-1,4551940,-11520,6399,-768,-513,18431,19456,-1280,255,11264,11008
937745273,86,1,2977,1000,200,999,0,4,1385,-4,19,-11,4,17781,-45,23,-3,-3,71,76,-5,0,44,44
937755265,86,1,2976,1000,200,999,0,4,1349,-4,18,-10,4,17781,-45,25,-3,-3,71,76,-5,0,60,39
937765254,86,1,2974,1000,200,999,0,4,1317,-4,19,-9,4,17781,-45,24,-3,-3,71,76,-5,0,44,44
937775277,87,1,2972,1000,200,999,0,4,1286,-4,19,-8,4,17781,-44,24,-3,-3,71,76,-5,0,59,52
937785268,87,1,2969,1000,200,999,0,4,1259,-4,19,-7,4,17781,-44,24,-3,-3,71,76,-5,0,44,44
937795258,87,1,2968,1000,200,999,0,4,1234,-4,17,-6,4,17781,-44,24,-3,-3,71,76,-5,0,48,49
937805265,84,1,2966,1000,200,999,0,4,1211,-3,18,-6,4,17780,-44,24,-3,-3,71,76,-5,0,44,44
937815249,84,1,2966,1000,200,999,0,4,1191,-4,19,-5,4,17780,-44,24,-3,-3,71,76,-5,0,41,42
937825273,84,1,2963,1000,200,999,0,4,1173,-4,18,-5,4,17780,-44,24,-3,-3,71,76,-5,0,44,43
937835264,84,1,2962,1000,200,999,0,4,1156,-4,18,-4,4,17780,-44,24,-3,-3,71,76,-5,0,44,44
937845245,84,1,2959,1000,200,999,0,4,1141,-4,20,-4,4,17780,-44,23,-3,-3,71,76,-5,0,44,44
937855267,84,1,2957,1000,200,999,0,4,1128,-3,19,-3,4,17780,-44,24,-3,-3,71,76,-5,0,44,44
937865242,86,1,2958,1000,200,999,0,4,1117,-4,19,-3,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
937875264,86,1,2964,1000,200,999,0,4,1109,-3,19,-3,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
937885245,87,1,2971,1000,200,999,0,4,1102,-3,19,-2,4,17780,-43,23,-3,-3,71,77,-5,0,44,44
937895265,87,1,2977,1000,200,999,0,4,1096,-3,19,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
937905253,87,1,2987,1000,200,999,0,4,1092,-3,19,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,43
937915274,84,1,2983,1000,200,999,0,4,1090,-3,19,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,43
937925255,84,1,2982,1000,200,999,0,4,1088,-3,18,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,43
937935238,84,1,2985,1000,200,999,0,4,1087,-3,19,-2,4,17780,-43,25,-3,-3,71,77,-5,0,44,43
937945246,85,1,2986,1000,200,999,0,4,1086,-3,18,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
937955259,85,1,2984,1000,200,999,0,4,1085,-3,18,-2,4,17780,-43,24,-3,-3,71,77,-5,0,47,45
937965267,85,1,2983,1000,200,999,0,4,1085,-3,17,-2,4,17780,-43,25,-3,-3,71,77,-5,0,45,44
937975259,84,1,2979,1000,200,999,0,4,1085,-3,18,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,41
937985241,84,1,2980,1000,200,999,0,4,1085,-3,19,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
937995258,84,1,2978,1000,200,999,0,4,1085,-3,19,-2,4,17780,-43,24,-3,-3,71,77,-5,0,44,44
