time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
27155231,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,23,0,0,0,0,0,0,43,43
27165224,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27175253,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27185246,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27195233,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27205232,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27215224,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,23,0,0,0,0,0,0,43,43
27225254,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27235246,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27245236,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27255265,0,1,0,0,0,0,0,3,-3100,-36,18,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27265222,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27275254,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27285246,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27295237,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27305236,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27315231,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27325224,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,23,0,0,0,0,0,0,44,43
27335253,0,1,0,0,0,0,0,3,-3100,-36,19,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27345245,0,1,0,0,0,0,0,3,-3100,-36,15,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27355237,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27365231,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27375224,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27385253,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27395246,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,21,0,0,0,0,0,0,44,43
27405246,0,1,0,0,0,0,0,3,-3100,-36,16,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27415242,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,44,43
27425239,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27435231,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27445221,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27455251,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27465237,0,1,0,0,0,0,0,3,-3100,-36,18,0,3,-1772,172,22,0,0,0,0,0,0,43,43
27475224,0,1,0,0,0,0,0,3,-3100,-36,17,0,3,-1772,172,22,0,0,0,0,0,0,43,43
