time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
28879530,1511,43,512,3262,1000,95,1005,0,95159296,0,3,14,76,663815168,0,-67,21,50,225,-12,68,-81,0,43
99035329,0,2,3301,1000,79,1005,0,4,1575,5,14,72,4,10177,-67,50,50,224,-11,68,-80,0,43,42
99045344,0,2,3352,1000,59,1005,0,4,1695,4,13,69,4,10223,-72,22,50,222,-13,66,-79,0,43,43
99055324,0,2,3381,1000,47,1005,0,4,1810,3,13,65,4,10269,-72,47,50,221,-12,66,-78,0,43,42
99065343,0,2,3427,1000,29,1005,0,4,1920,3,14,62,4,10312,-72,21,50,220,-11,66,-78,0,43,43
99075344,0,2,3472,1000,11,1005,0,4,2025,3,14,59,4,10354,-72,22,50,218,-11,66,-77,0,44,43
99085340,0,2,3484,1000,6,1005,0,4,2126,4,14,56,4,10396,-72,30,50,217,-10,66,-77,0,43,42
99095340,0,2,3498,1000,0,1005,0,4,2221,4,14,53,4,10435,-72,39,50,216,-9,66,-76,0,43,45
99105348,0,2,3509,1000,-3,1005,0,4,2311,4,14,50,4,10475,-72,21,50,215,-9,66,-75,0,43,43
99115406,0,2,3523,996,-9,1005,0,4,2397,4,15,60,4,10513,-72,65,50,206,-12,62,-75,0,43,43
99125348,0,2,3507,1000,-2,1005,0,4,2482,4,14,45,4,10548,-72,21,50,213,-7,66,-74,0,43,43
99135334,0,2,3496,1000,1,1005,0,4,2564,4,12,43,4,10583,-97,59,50,212,-16,57,-73,0,44,42
99145350,0,2,3485,1000,6,1005,0,4,2639,5,15,40,4,10618,-97,23,50,210,-15,57,-73,0,43,43
99155320,0,2,3475,1000,10,1005,0,4,2708,7,14,38,4,10652,-97,22,50,209,-15,57,-72,0,43,43
99165354,0,2,3457,1000,17,1005,0,4,2774,9,14,36,4,10686,-97,22,50,208,-14,57,-72,0,43,43
99175336,0,2,3445,1000,22,1005,0,4,2834,9,14,35,4,10719,-97,58,50,207,-14,57,-71,0,43,42
99185344,0,2,3430,1000,28,1005,0,4,2893,10,14,33,4,10752,-97,59,50,206,-13,57,-70,0,42,43
99195320,0,2,3415,1000,34,1005,0,4,2947,8,14,31,4,10785,-97,24,50,205,-12,57,-70,0,43,43
99205340,0,2,3401,1000,39,1005,0,4,3000,8,14,30,4,10817,-97,58,50,205,-12,57,-69,0,43,43
99215349,0,2,3385,1000,46,1005,0,4,3049,8,17,28,4,10849,-97,66,50,204,-11,57,-69,0,43,43
99225317,0,2,3373,1000,50,1005,0,4,3096,8,16,27,4,10880,-171,51,50,203,-38,30,-68,0,43,43
99235336,0,2,3359,1000,56,1005,0,4,3140,9,14,25,4,10911,-171,33,50,202,-38,30,-68,0,43,42
99245335,0,2,3346,1000,61,1005,0,4,3182,9,13,24,4,10940,-171,22,50,201,-38,30,-68,0,43,43
99255338,0,2,3330,1000,68,1005,0,4,3221,9,14,23,4,10970,-171,30,50,200,-37,30,-68,0,43,43
99265336,0,2,3317,1000,73,1005,0,4,3258,9,14,22,4,11000,-171,23,50,199,-37,30,-67,0,43,43
99275407,0,2,3302,1000,79,1005,0,4,3293,9,14,21,4,11029,-171,24,50,198,-37,30,-67,0,43,43
99285324,0,2,3287,1000,85,1005,0,4,3326,9,15,20,4,11057,-171,66,50,197,-36,30,-67,0,43,43
99295343,0,2,3274,1000,90,1005,0,4,3357,10,14,19,4,11084,-171,36,50,197,-36,30,-66,0,43,42
99305345,0,2,3256,1000,97,1005,0,4,3386,10,13,18,4,11112,-171,52,50,196,-36,30,-66,0,45,42
99315322,0,2,3244,1000,102,1005,0,4,3413,9,15,17,4,11139,-268,39,29,195,-71,-5,-66,0,43,43
99325350,0,2,3229,1000,108,1005,0,4,3439,9,14,16,4,11152,-268,70,28,194,-72,-5,-66,0,42,43
99335319,0,2,3217,1000,113,1005,0,4,3463,9,13,16,4,11154,-268,68,28,194,-72,-5,-66,0,42,43
99345347,0,2,3202,1000,117,1005,0,4,3486,10,14,15,4,11154,-268,21,28,194,-72,-5,-66,0,43,42
99355327,0,2,3191,1000,123,1005,0,4,3507,9,15,14,4,11154,-268,34,28,194,-72,-5,-66,0,43,43
99365336,0,2,3179,1000,128,1005,0,4,3528,10,14,14,4,11154,-268,23,28,194,-72,-5,-66,0,43,43
99375349,0,2,3168,1000,132,1005,0,4,3547,10,14,13,4,11154,-268,23,28,194,-72,-5,-66,0,44,42
99385329,0,2,3157,1000,137,1005,0,4,3565,10,16,13,4,11154,-268,47,28,194,-72,-5,-66,0,43,43
99395346,0,2,3140,1000,144,1005,0,4,3582,10,14,12,4,11154,-268,23,28,194,-72,-5,-66,0,43,43
99405316,0,2,3129,1000,148,1005,0,4,3598,10,14,12,4,11154,-338,22,2,194,-98,-31,-67,0,43,43
99415335,0,2,3118,1000,152,1005,0,4,3614,10,13,11,4,11147,-338,20,2,195,-98,-31,-67,0,43,43
99425351,0,2,3110,1000,156,1005,0,4,3629,10,14,11,4,11142,-338,20,2,195,-98,-31,-67,0,42,43
99435408,0,2,3105,1000,158,1005,0,4,3643,10,14,10,4,11139,-338,21,1,195,-99,-31,-68,0,43,43
99445339,0,2,3094,1000,162,1005,0,4,3656,10,14,10,4,11135,-338,20,1,195,-99,-31,-68,0,43,43
99455315,0,2,3085,1000,166,1005,0,4,3669,9,14,10,4,11132,-338,20,1,195,-99,-31,-68,0,43,43
99465324,0,2,3071,1000,171,1005,0,4,3681,9,14,9,4,11129,-338,19,0,195,-100,-31,-69,0,43,43
99475341,0,2,3057,1000,177,1005,0,4,3693,10,14,9,4,11126,-338,20,0,195,-100,-31,-69,0,43,43
99485345,0,2,3044,1000,182,1005,0,4,3704,10,13,9,4,11123,-338,20,0,195,-100,-31,-69,0,43,43
99495353,0,2,3035,1000,186,1005,0,4,3714,10,14,8,4,11120,-338,20,0,195,-100,-31,-69,0,43,43
99505327,0,2,3025,1000,190,1005,0,4,3724,10,14,8,4,11117,-382,20,0,195,-116,-47,-69,0,44,43
99515333,0,2,3020,1000,192,1005,0,4,3733,10,14,8,4,11114,-382,19,0,196,-116,-47,-69,0,43,43
99525345,0,2,3010,1000,196,1005,0,4,3742,9,14,7,4,11111,-382,20,0,196,-116,-47,-69,0,43,43
99535316,0,2,3003,1000,198,1005,0,4,3751,10,14,7,4,11108,-382,20,0,196,-116,-47,-69,0,43,43
99545322,0,1,2998,1000,198,1005,0,4,3759,10,59,-82,4,11105,-382,19,0,196,-116,-47,-69,0,43,43
99555345,0,1,2989,1000,198,1005,0,4,3707,10,20,-81,4,11102,-382,20,0,196,-116,-47,-69,0,43,43
99565350,0,1,2983,1000,198,1005,0,4,3606,10,24,-78,4,11099,-382,20,0,196,-116,-47,-69,0,46,44
99575327,0,1,2969,1000,198,1005,0,4,3494,9,20,-74,4,11096,-382,20,0,196,-116,-47,-69,0,48,46
99585334,0,1,2961,1000,198,1005,0,4,3379,8,16,-71,4,11093,-382,21,0,196,-116,-47,-69,0,48,48
99595423,0,1,2950,1000,198,1005,0,4,3265,7,14,-67,4,11090,-390,20,0,196,-119,-50,-69,0,50,52
99605326,0,1,2941,1000,198,1005,0,4,3155,7,14,-64,4,11088,-390,20,0,196,-119,-50,-69,0,54,56
99615343,0,1,2934,1000,198,1005,0,4,3046,7,14,-61,4,11085,-390,20,0,196,-119,-50,-69,0,59,66
99625316,0,1,2925,1000,198,1005,0,4,2943,6,13,-58,4,11082,-390,20,0,197,-119,-50,-69,0,65,73
99635316,0,1,2919,1000,198,1005,0,4,2843,6,14,-55,4,11079,-390,20,0,197,-119,-50,-69,0,70,84
99645324,0,1,2914,1000,198,1005,0,4,2748,6,12,-52,4,11076,-390,20,0,197,-119,-50,-69,0,74,89
99655333,0,1,2908,1000,198,1005,0,4,2658,6,14,-49,4,11073,-390,20,0,197,-119,-50,-69,0,77,94
99665319,0,1,2900,1000,198,1005,0,4,2573,5,15,-47,4,11070,-390,21,0,197,-119,-50,-69,0,76,94
99675316,0,1,2890,1000,198,1005,0,4,2492,5,14,-44,4,11067,-390,20,0,197,-119,-50,-69,0,76,93
99685352,0,1,2881,1000,198,1005,0,4,2415,5,14,-42,4,11064,-381,20,0,197,-115,-46,-69,0,76,91
99695340,0,1,2874,1000,198,1005,0,4,2343,5,14,-40,4,11061,-381,20,0,197,-115,-46,-69,0,75,91
